sample,cosine_similarity,reconstruction_error
TCGA-44-5644-01A-21D-2036-08,0.9754477380850645,150.01030104181092
TCGA-44-6144-01A-11D-1753-08,0.9202987660684424,34.16964699762282
TCGA-44-6145-01A-11D-1753-08,0.8964117057296187,55.702898954343546
TCGA-44-6147-01A-11D-1753-08,0.9174444106418082,27.472641063708114
TCGA-44-6147-01A-11D-A271-08,0.9236130946272247,30.55370593861905
TCGA-44-6147-01A-21D-A27T-08,0.9337463733205408,34.56085411743353
TCGA-44-6147-01A-31D-A27T-08,0.8834338955921325,19.28226007239541
TCGA-44-6147-01B-06D-A271-08,0.9047723772266022,24.052937386617927
TCGA-44-6774-01A-21D-1855-08,0.930463425860727,45.78026445951588
TCGA-44-6776-01A-11D-1855-08,0.916534425283859,29.345119824016514
