sample,cosine_similarity,n_snv,cancer_type
TCGA-49-AAR3-01A-11D-A410-08,0.915494847361103,2.060697840353612,Lung Adenocarcinoma
TCGA-49-AAR4-01A-12D-A410-08,0.9843147772862625,2.73559889969818,Lung Adenocarcinoma
TCGA-49-AAR9-01A-21D-A410-08,0.9703402236510542,2.815577748324267,Lung Adenocarcinoma
TCGA-49-AARE-01A-11D-A410-08,0.9781841032085101,3.0546130545568877,Lung Adenocarcinoma
TCGA-49-AARN-01A-21D-A410-08,0.988711114392484,2.8573324964312685,Lung Adenocarcinoma
TCGA-49-AARO-01A-12D-A410-08,0.9814660849078729,2.754348335711019,Lung Adenocarcinoma
TCGA-49-AARQ-01A-11D-A410-08,0.9773901513544347,2.8432327780980096,Lung Adenocarcinoma
TCGA-4B-A93V-01A-11D-A397-08,0.9439068192017184,2.1398790864012365,Lung Adenocarcinoma
TCGA-50-5044-01A-21D-1855-08,0.978776905775878,2.1072099696478683,Lung Adenocarcinoma
TCGA-50-5045-01A-01D-1625-08,0.9513233170063028,2.4345689040341987,Lung Adenocarcinoma
TCGA-50-5049-01A-01D-1625-08,0.9785061498638506,2.8819549713396007,Lung Adenocarcinoma
TCGA-50-5051-01A-21D-1855-08,0.9212987191734825,2.0211892990699383,Lung Adenocarcinoma
TCGA-50-5066-01A-01D-1625-08,0.9574118353577391,2.4216039268698313,Lung Adenocarcinoma
TCGA-50-5066-02A-11D-2107-08,0.9587452194503541,2.574031267727719,Lung Adenocarcinoma
TCGA-50-5072-01A-21D-1855-08,0.9165456436528069,2.2121876044039577,Lung Adenocarcinoma
TCGA-50-5930-01A-11D-1753-08,0.9825913853810743,3.0515383905153275,Lung Adenocarcinoma
TCGA-50-5931-01A-11D-1753-08,0.9444766664016978,2.44870631990508,Lung Adenocarcinoma
TCGA-50-5933-01A-11D-1753-08,0.979272655049073,2.6910814921229687,Lung Adenocarcinoma
TCGA-50-5936-01A-11D-1625-08,0.9498623938418836,2.0718820073061255,Lung Adenocarcinoma
TCGA-50-5941-01A-11D-1753-08,0.967020603715975,2.5514499979728753,Lung Adenocarcinoma
TCGA-50-5946-01A-11D-1753-08,0.972913495269624,2.8260748027008264,Lung Adenocarcinoma
TCGA-50-5946-02A-11D-2107-08,0.9799073787034523,2.859738566197147,Lung Adenocarcinoma
TCGA-50-6590-01A-12D-1855-08,0.9834414786400304,2.937517892017347,Lung Adenocarcinoma
TCGA-50-6592-01A-11D-1753-08,0.9481863649901564,2.4471580313422194,Lung Adenocarcinoma
TCGA-50-6593-01A-11D-1753-08,0.9577473548172071,2.4913616938342726,Lung Adenocarcinoma
TCGA-50-6594-01A-11D-1753-08,0.9623364182262445,2.682145076373832,Lung Adenocarcinoma
TCGA-50-7109-01A-11D-2036-08,0.9422614380128856,2.3909351071033793,Lung Adenocarcinoma
TCGA-53-7624-01A-11D-2063-08,0.985500031053161,2.9079485216122722,Lung Adenocarcinoma
TCGA-53-7626-01A-12D-2063-08,0.9729283281946719,2.5352941200427703,Lung Adenocarcinoma
TCGA-53-7813-01A-11D-2167-08,0.935004633762799,2.1271047983648077,Lung Adenocarcinoma
TCGA-53-A4EZ-01A-12D-A24P-08,0.9679894334215774,2.733999286538387,Lung Adenocarcinoma
TCGA-55-1592-01A-01D-0969-08,0.9628472194880924,2.714329759745233,Lung Adenocarcinoma
TCGA-55-1592-01A-01W-0928-08,0.9664614162661369,2.6884198220027105,Lung Adenocarcinoma
